carat,cut,color,clarity,depth,table,x,y,z,price
0.51,Very Good,G,VS2,62.6,57.0,5.1,5.15,3.21,1343
0.57,Ideal,E,VS1,61.6,56.9,5.29,5.36,3.28,2030
1.02,Ideal,E,VS1,62.2,54.0,6.44,6.46,4.01,8011
1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,4532
1.73,Very Good,H,VS2,59.2,61.0,7.78,7.82,4.62,13102
0.32,Ideal,G,VS1,61.2,57.0,4.4,4.43,2.7,645
0.7,Very Good,F,SI1,63.4,59.0,5.59,5.64,3.56,2264
1.71,Ideal,H,SI1,61.8,57.0,7.74,7.69,4.76,13477
0.7,Very Good,H,VVS2,62.5,55.0,5.65,5.68,3.54,2558
0.23,Very Good,F,VVS2,59.6,57.0,3.98,4.0,2.38,530
1.7,Premium,F,SI2,60.5,59.0,7.77,7.73,4.69,11228
0.57,Premium,G,VS1,60.2,57.0,5.42,5.37,3.25,1819
1.7,Premium,I,VS2,62.4,58.0,7.61,7.56,4.73,10910
0.3,Premium,F,VS2,62.5,58.0,4.32,4.29,2.69,776
1.11,Ideal,E,SI2,61.4,58.0,6.63,6.66,4.08,5938
0.41,Premium,G,VS2,62.6,58.0,4.71,4.74,2.96,827
1.09,Premium,E,SI2,60.9,59.0,6.75,6.61,4.07,5127
0.3,Ideal,E,VS2,61.5,56.0,4.33,4.29,2.65,844
1.11,Premium,F,VS2,63.0,56.0,6.62,6.49,4.15,6589
1.21,Very Good,H,SI1,63.5,60.0,6.65,6.61,4.21,6566
0.5,Good,I,SI2,65.3,56.0,4.91,5.01,3.24,855
1.01,Premium,E,SI1,61.6,59.0,6.44,6.42,3.96,4299
1.0,Good,H,SI2,63.2,59.0,6.24,6.29,3.96,3874
0.39,Premium,E,VS2,59.7,59.0,4.83,4.79,2.87,975
0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47,2762
0.43,Ideal,D,VS1,61.6,56.0,4.86,4.85,2.99,1264
0.56,Ideal,E,VS2,61.4,57.0,5.35,5.31,3.27,1882
0.9,Fair,F,SI2,69.0,59.0,5.89,5.82,4.04,2536
1.53,Premium,H,VS2,59.8,58.0,7.49,7.52,4.49,10224
1.02,Ideal,G,IF,62.5,57.0,6.44,6.37,4.0,8311
1.01,Very Good,D,VS1,63.1,59.0,6.37,6.34,4.01,8101
0.33,Ideal,F,VS2,61.9,55.0,4.43,4.46,2.75,666
2.0,Premium,E,SI2,61.8,56.0,8.12,8.05,5.0,18426
0.51,Premium,H,SI1,60.0,61.0,5.2,5.17,3.11,1163
0.75,Premium,G,SI2,62.7,58.0,5.82,5.76,3.63,2268
0.41,Good,H,VS2,64.1,57.0,4.72,4.64,3.0,729
0.52,Ideal,D,VS2,62.6,56.0,5.14,5.11,3.21,1919
0.41,Premium,E,VVS2,60.9,56.0,4.84,4.78,2.93,1231
0.3,Good,G,VVS2,63.1,56.0,4.2,4.23,2.66,684
0.31,Good,G,VS2,57.6,62.0,4.46,4.5,2.58,507
0.79,Very Good,I,SI1,63.3,57.0,5.86,5.83,3.7,2095
0.86,Premium,F,SI1,62.6,58.0,6.01,6.06,3.78,3372
1.3,Ideal,I,VS1,62.1,57.0,7.04,6.98,4.35,6931
0.27,Very Good,G,VVS1,60.1,58.0,4.21,4.23,2.53,566
0.56,Premium,G,VS2,62.5,57.0,5.28,5.25,3.29,1698
0.33,Very Good,I,SI1,63.2,58.0,4.38,4.36,2.76,572
0.5,Good,E,SI1,64.0,56.0,5.03,4.97,3.2,1090
0.62,Ideal,H,IF,60.5,58.0,5.48,5.52,3.33,2501
0.52,Ideal,D,VS1,60.4,56.0,5.24,5.26,3.17,2146
0.39,Ideal,G,VVS2,61.9,56.0,4.68,4.7,2.9,902
0.61,Very Good,F,VVS2,60.5,58.5,5.44,5.64,3.34,2274
1.5,Good,E,VS2,63.9,58.0,7.2,7.24,4.61,13899
1.01,Premium,I,VS2,62.5,58.0,6.44,6.39,4.01,4676
0.3,Premium,G,VVS2,61.2,59.0,4.35,4.31,2.65,878
0.31,Ideal,H,IF,62.0,56.0,4.36,4.39,2.71,772
1.08,Premium,G,VS2,62.4,57.0,6.56,6.49,4.07,6532
1.01,Good,E,SI1,64.7,57.0,6.22,6.29,4.05,4608
0.25,Good,D,VS1,57.6,60.0,4.15,4.18,2.4,399
1.32,Very Good,F,IF,62.4,58.0,6.97,7.01,4.36,14842
1.36,Ideal,J,VVS2,61.9,56.0,7.16,7.13,4.42,6973
1.24,Premium,I,VS2,60.1,59.0,7.02,6.95,4.2,5889
0.3,Very Good,G,VS2,62.2,60.0,4.24,4.25,2.64,526
0.57,Premium,I,VVS1,62.1,58.0,5.25,5.32,3.28,1608
0.61,Ideal,G,SI1,61.4,56.0,5.46,5.49,3.36,1659
1.18,Ideal,I,SI1,62.2,56.0,6.85,6.75,4.23,5088
0.7,Very Good,E,VS1,62.5,56.0,5.64,5.68,3.54,3063
0.72,Ideal,I,VS1,61.0,57.0,5.76,5.83,3.56,2048
1.0,Premium,H,SI2,61.3,58.0,6.45,6.41,3.94,3920
0.7,Very Good,D,VS2,63.3,56.0,5.6,5.58,3.54,2826
0.54,Ideal,G,SI2,61.8,55.0,5.23,5.26,3.24,1028
0.53,Good,H,VS1,57.6,64.0,5.41,5.36,3.1,1282
1.0,Good,G,VS2,56.7,62.0,6.64,6.59,3.75,4838
1.02,Premium,G,VVS2,62.2,60.0,6.39,6.43,3.99,7602
0.4,Ideal,E,SI2,61.2,55.0,4.77,4.74,2.91,855
1.07,Very Good,G,VS2,62.9,59.0,6.49,6.52,4.09,6525
1.13,Premium,D,SI2,62.0,58.0,6.64,6.68,4.13,5280
0.31,Ideal,E,VS2,60.9,57.0,4.34,4.36,2.65,680
1.07,Very Good,H,VS1,62.5,56.0,6.52,6.6,4.1,5661
0.53,Premium,F,VS2,61.4,60.0,5.18,5.21,3.19,1631
1.12,Ideal,F,VVS2,60.4,56.0,6.82,6.78,4.11,10236
0.54,Premium,F,SI2,59.6,60.0,5.28,5.25,3.14,1240
0.39,Ideal,E,IF,61.1,57.0,4.73,4.76,2.9,1333
0.57,Ideal,G,VS1,62.2,54.0,5.31,5.33,3.31,1837
0.7,Premium,F,SI1,60.1,56.0,5.84,5.78,3.49,2394
0.73,Ideal,I,VVS1,61.7,57.0,5.83,5.78,3.58,2561
0.31,Ideal,G,VS1,62.4,55.0,4.35,4.33,2.71,802
1.12,Ideal,E,SI2,61.6,56.0,6.69,6.71,4.13,6168
0.3,Premium,E,VS2,61.7,58.0,4.32,4.34,2.67,658
0.56,Very Good,E,IF,59.9,60.0,5.31,5.38,3.2,2724
0.9,Good,G,SI1,64.2,58.0,6.04,6.01,3.87,3250
0.29,Ideal,F,VVS2,61.1,58.0,4.26,4.28,2.61,715
1.01,Ideal,H,SI2,60.7,59.0,6.47,6.45,3.92,4078
2.01,Good,I,SI2,63.5,60.0,7.86,7.94,5.02,12985
1.01,Ideal,F,I1,62.2,54.0,6.42,6.44,4.0,3377
1.07,Ideal,G,VVS2,61.8,55.0,6.57,6.61,4.07,8491
0.51,Very Good,E,SI1,60.8,55.0,5.17,5.2,3.15,1318
0.27,Very Good,F,VS1,62.5,56.0,4.14,4.18,2.6,518
0.32,Ideal,D,VVS1,61.8,56.0,4.41,4.39,2.72,1140
1.03,Ideal,J,VS2,61.6,57.0,6.52,6.47,4.0,4283
0.71,Very Good,F,VS2,63.5,60.0,5.64,5.67,3.59,2630
0.9,Ideal,H,VS1,61.8,56.0,6.18,6.24,3.84,4194
0.7,Ideal,I,SI2,62.3,55.0,5.67,5.72,3.55,1874
1.02,Ideal,H,SI1,60.9,57.0,6.51,6.55,3.98,5522
0.96,Very Good,F,SI1,62.1,62.0,6.24,6.32,3.9,4755
0.32,Very Good,I,VVS1,63.0,58.0,4.32,4.38,2.74,589
0.41,Ideal,G,IF,62.3,55.0,4.75,4.78,2.97,1367
1.75,Premium,D,SI2,60.6,60.0,7.74,7.78,4.7,13363
1.02,Ideal,E,VS2,62.7,56.0,6.44,6.38,4.02,6854
1.01,Premium,E,VS2,60.9,58.0,6.53,6.47,3.96,7522
0.7,Ideal,E,VS2,62.1,54.0,5.69,5.72,3.54,2839
0.5,Premium,I,VVS1,58.2,62.0,5.25,5.19,3.04,1415
1.01,Premium,E,SI1,62.8,59.0,6.31,6.27,3.95,5599
1.53,Very Good,G,VS1,62.8,56.0,7.31,7.37,4.61,12654
0.9,Very Good,G,SI2,62.6,60.0,6.1,6.16,3.84,3593
0.72,Ideal,F,SI2,61.6,57.0,5.75,5.68,3.52,2074
0.32,Good,E,SI1,62.5,61.0,4.32,4.35,2.71,564
1.24,Ideal,H,VVS2,62.0,56.0,6.92,6.86,4.27,8069
2.29,Premium,G,SI2,62.5,59.0,8.38,8.33,5.22,14108
0.37,Ideal,D,SI1,61.5,57.0,4.63,4.6,2.84,874
0.33,Very Good,E,SI2,60.0,59.0,4.47,4.49,2.69,463
0.42,Ideal,H,VVS2,62.4,56.0,4.78,4.8,2.99,921
1.0,Ideal,E,SI1,61.5,57.0,6.41,6.47,3.96,4864
1.58,Ideal,G,VS1,61.3,57.0,7.48,7.54,4.6,14624
0.96,Premium,I,SI2,59.1,62.0,6.48,6.38,3.79,2454
0.42,Very Good,D,SI1,62.8,58.0,4.76,4.79,3.0,810
1.02,Ideal,I,SI1,61.3,56.0,6.52,6.47,3.98,4455
1.5,Good,F,SI2,59.7,61.0,7.39,7.44,4.43,8181
0.7,Good,D,SI2,59.3,64.0,5.8,5.76,3.43,2312
2.05,Premium,I,SI2,62.1,59.0,8.13,8.07,5.03,9850
0.41,Ideal,G,VVS2,62.2,54.0,4.75,4.8,2.97,939
2.21,Very Good,F,SI2,61.0,58.0,8.36,8.43,5.12,18483
0.7,Good,F,SI1,59.7,64.0,5.71,5.74,3.42,2337
1.22,Ideal,H,SI1,61.9,56.0,6.86,6.83,4.24,5985
0.4,Very Good,F,VS1,63.1,56.0,4.68,4.7,2.96,895
0.35,Ideal,G,IF,61.4,55.0,4.56,4.59,2.81,1044
0.31,Very Good,H,VS2,60.0,60.0,4.4,4.43,2.65,489
1.02,Good,F,VS1,57.9,59.0,6.64,6.59,3.83,7197
0.32,Ideal,I,VS1,62.0,54.0,4.37,4.41,2.72,523
0.5,Fair,H,VS1,66.6,58.0,4.95,4.84,3.26,1134
1.06,Very Good,D,SI2,60.1,58.0,6.6,6.64,3.98,5293
1.09,Premium,G,SI2,61.1,59.0,6.69,6.63,4.07,4794
0.95,Very Good,I,SI1,61.0,61.0,6.29,6.37,3.86,3544
0.96,Good,H,SI2,56.7,62.0,6.51,6.39,3.66,3611
0.37,Ideal,F,VS2,61.4,56.0,4.63,4.59,2.83,957
0.3,Ideal,G,VVS1,61.7,57.0,4.32,4.34,2.67,764
0.42,Ideal,G,VVS2,62.6,55.0,4.77,4.78,2.99,1031
0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61,2789
0.96,Fair,H,I1,61.5,63.0,6.22,6.06,3.78,1637
1.01,Very Good,I,SI2,63.7,56.0,6.33,6.38,4.05,4047
0.94,Ideal,E,SI2,61.1,55.0,6.29,6.34,3.86,3915
1.02,Very Good,G,SI1,62.8,57.0,6.35,6.38,4.0,4964
1.2,Good,J,VS2,64.3,56.0,6.65,6.57,4.25,4637
0.32,Ideal,E,VS2,62.1,54.0,4.4,4.42,2.74,702
1.34,Ideal,F,SI1,61.7,55.0,7.07,7.13,4.38,7893
1.56,Very Good,J,SI2,61.4,58.0,7.4,7.45,4.56,6662
1.53,Ideal,G,VS2,61.6,57.0,7.4,7.3,4.53,13369
1.02,Good,E,VS2,63.2,60.0,6.29,6.34,3.99,6462
0.32,Ideal,D,SI1,62.7,54.0,4.39,4.35,2.74,756
1.14,Very Good,D,IF,59.1,58.0,6.83,6.9,4.06,18112
0.81,Premium,F,SI1,61.6,58.0,5.96,5.92,3.66,3311
0.4,Good,H,SI1,62.0,61.0,4.69,4.73,2.92,667
0.38,Ideal,H,SI1,62.0,54.0,4.66,4.72,2.91,671
0.5,Good,E,VS1,58.2,61.0,5.19,5.22,3.03,1806
0.33,Ideal,H,VS2,60.7,55.0,4.48,4.51,2.73,551
0.41,Very Good,F,SI1,62.3,60.0,4.73,4.78,2.96,679
1.55,Premium,H,VS2,60.4,60.0,7.44,7.39,4.48,11149
0.52,Very Good,D,VS1,62.5,57.0,5.11,5.16,3.21,1829
0.41,Premium,G,VS1,61.7,57.0,4.78,4.75,2.94,961
1.03,Ideal,F,VVS2,61.6,56.0,6.46,6.53,4.0,8701
0.51,Ideal,H,VVS1,61.7,57.0,5.12,5.15,3.16,1837
0.78,Premium,F,SI1,61.5,59.0,5.96,5.88,3.64,2816
0.32,Ideal,G,VS1,61.2,56.0,4.39,4.43,2.7,645
1.0,Premium,E,SI1,62.6,60.0,6.35,6.3,3.97,5544
3.01,Good,I,SI2,63.9,60.0,9.06,9.01,5.77,18242
3.02,Fair,I,I1,65.2,56.0,9.11,9.02,5.91,10577
1.21,Very Good,H,SI2,61.1,60.0,6.86,6.91,4.21,4991
1.22,Premium,G,SI2,62.4,61.0,6.79,6.79,4.23,6969
1.16,Ideal,F,VS2,61.3,57.0,6.76,6.79,4.15,9432
0.31,Premium,F,VS2,62.0,60.0,4.3,4.34,2.68,625
0.79,Very Good,F,VS1,58.6,57.0,6.08,6.14,3.58,3398
0.9,Very Good,G,VVS2,62.6,55.0,6.12,6.19,3.85,4668
0.5,Ideal,F,VVS2,62.3,57.0,5.06,5.08,3.16,1850
0.43,Ideal,J,SI1,61.9,54.0,4.88,4.84,3.01,708
1.24,Premium,D,SI2,59.9,59.0,7.01,6.95,4.18,5382
0.9,Very Good,I,VVS1,61.3,59.0,6.17,6.2,3.79,4099
0.3,Very Good,F,IF,62.5,56.0,4.27,4.3,2.68,886
0.59,Premium,D,VS1,61.9,58.0,5.37,5.32,3.31,2326
2.14,Ideal,E,SI2,62.7,55.0,8.26,8.21,5.16,13065
2.01,Ideal,J,SI2,62.9,54.0,8.03,8.07,5.06,12565
0.36,Ideal,E,VS2,62.1,55.0,4.54,4.58,2.83,789
0.84,Premium,F,SI1,59.0,59.0,6.18,6.13,3.63,3115
1.02,Ideal,G,SI2,61.0,57.0,6.51,6.58,3.99,4890
0.3,Ideal,F,IF,62.0,58.0,4.25,4.3,2.65,886
0.35,Premium,H,VS1,61.7,59.0,4.51,4.53,2.79,614
0.39,Premium,E,VVS1,60.7,58.0,4.73,4.69,2.86,1362
0.43,Ideal,F,SI1,61.8,56.0,4.87,4.84,3.0,1016
0.8,Premium,J,SI1,60.1,57.0,6.03,5.98,3.61,2227
0.7,Very Good,I,VVS2,63.0,58.0,5.64,5.69,3.57,2367
1.12,Ideal,J,VS2,62.9,57.0,6.55,6.52,4.11,3638
0.69,Good,D,VVS2,61.5,61.0,5.61,5.65,3.46,3369
0.4,Premium,D,VS2,60.5,59.0,4.76,4.8,2.89,982
0.6,Ideal,E,SI1,61.5,56.0,5.51,5.39,3.35,1830
1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,16131
1.01,Good,E,SI2,63.3,58.0,6.3,6.36,4.01,4168
0.3,Premium,G,VS1,62.9,60.0,4.29,4.26,2.69,776
1.01,Very Good,F,SI1,61.3,59.0,6.44,6.47,3.96,4969
1.21,Premium,D,VS1,62.6,56.0,6.83,6.74,4.25,10706
1.0,Good,G,VS2,59.1,62.0,6.42,6.45,3.8,6369
1.0,Very Good,D,VVS2,61.7,58.0,6.37,6.41,3.94,10113
1.21,Premium,H,VS2,59.3,60.0,6.93,6.99,4.13,6849
0.41,Premium,E,VS1,62.2,57.0,4.78,4.74,2.96,1153
0.7,Very Good,F,VS2,62.1,58.0,5.68,5.72,3.54,2400
0.9,Very Good,G,SI1,63.1,59.0,6.15,6.11,3.87,3669
1.15,Premium,G,VS1,61.7,58.0,6.73,6.7,4.14,7535
1.79,Premium,J,SI1,60.9,60.0,7.79,7.83,4.76,9205
0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,1315
0.4,Premium,E,VVS1,61.4,59.0,4.68,4.74,2.89,1333
0.73,Very Good,F,SI1,61.4,60.0,5.74,5.76,3.53,2675
1.2,Very Good,I,VVS2,59.9,55.0,6.88,6.94,4.14,6558
1.51,Good,I,VS1,64.0,60.0,7.1,7.19,4.57,8975
1.0,Fair,G,SI1,65.7,54.0,6.24,6.16,4.07,2964
0.9,Ideal,F,SI2,62.3,57.0,6.19,6.17,3.85,3679
0.3,Premium,G,VVS1,62.1,61.0,4.3,4.27,2.66,1013
0.41,Premium,E,VS2,59.8,60.0,4.83,4.87,2.9,935
1.01,Very Good,D,SI1,61.5,61.0,6.37,6.47,3.95,5542
0.3,Good,H,SI1,63.1,56.0,4.27,4.29,2.7,432
1.97,Very Good,H,VS2,62.9,59.0,7.9,8.01,5.0,17377
0.41,Ideal,F,VS1,62.1,56.0,4.76,4.74,2.95,1076
0.73,Good,E,SI1,63.2,58.0,5.7,5.76,3.62,2796
0.72,Ideal,E,VS2,60.8,56.0,5.78,5.82,3.53,3601
1.13,Very Good,D,VS2,62.9,58.0,6.59,6.63,4.16,8561
1.21,Ideal,I,SI1,62.4,57.0,6.84,6.78,4.25,5624
0.3,Ideal,E,VS2,61.8,56.0,4.32,4.29,2.66,844
0.36,Ideal,J,VS2,61.5,55.0,4.6,4.63,2.84,459
0.25,Very Good,F,VS1,60.7,57.0,4.06,4.09,2.47,480
0.5,Premium,G,VVS2,59.6,60.0,5.18,5.15,3.08,1935
0.33,Ideal,E,SI1,61.9,56.0,4.46,4.49,2.77,702
2.04,Premium,H,SI2,62.8,58.0,8.11,8.06,5.08,14184
1.5,Very Good,I,SI1,60.2,63.0,7.38,7.33,4.43,7140
0.4,Very Good,I,SI1,59.8,57.0,4.8,4.83,2.88,596
0.35,Ideal,H,VVS1,61.5,57.0,4.54,4.53,2.79,1024
1.2,Premium,F,SI1,60.1,59.0,6.92,6.85,4.14,7282
1.91,Ideal,G,SI2,62.2,55.0,7.9,7.94,4.93,12700
0.92,Very Good,F,SI2,62.1,59.0,6.21,6.26,3.87,3854
2.06,Very Good,I,SI2,62.3,57.0,8.12,8.2,5.09,14298
0.77,Ideal,I,VS1,61.4,56.0,5.9,5.93,3.63,3066
0.75,Ideal,I,VS1,61.1,59.0,5.85,5.87,3.58,2659
1.01,Fair,D,VVS2,65.4,57.0,6.2,6.16,4.04,8716
0.53,Ideal,F,VVS2,61.9,56.0,5.18,5.22,3.22,2160
1.02,Premium,G,SI1,61.7,58.0,6.47,6.37,3.96,5169
2.02,Premium,I,SI1,61.4,58.0,8.14,8.07,4.98,14240
0.33,Very Good,F,IF,60.3,58.0,4.49,4.46,2.7,1014
0.73,Ideal,G,SI1,62.3,54.0,5.81,5.78,3.61,2321
0.5,Premium,G,SI1,63.0,56.0,5.07,5.02,3.18,1138
0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81,2825
0.52,Very Good,D,SI1,63.2,57.0,5.11,5.15,3.24,1446
1.0,Good,G,SI2,64.0,55.0,6.3,6.26,4.02,3941
1.01,Ideal,F,VS1,61.3,57.0,6.44,6.47,3.96,7465
1.02,Very Good,J,SI1,61.9,60.0,6.37,6.42,3.96,3483
0.72,Very Good,H,VS2,62.9,58.0,5.7,5.75,3.6,2396
0.9,Very Good,E,IF,63.9,55.0,6.05,6.09,3.88,7747
2.14,Very Good,E,SI2,61.5,58.0,8.24,8.31,5.09,18125
0.9,Premium,H,VS2,60.4,59.0,6.27,6.24,3.78,4246
0.4,Very Good,H,VS2,62.1,56.0,4.72,4.75,2.94,746
1.01,Ideal,G,VS2,61.7,57.0,6.44,6.49,3.99,5439
1.23,Premium,J,SI1,61.9,54.0,6.89,6.86,4.26,4649
0.72,Ideal,F,VS2,62.0,57.0,5.77,5.72,3.56,2607
0.3,Ideal,D,VVS1,61.9,57.0,4.27,4.29,2.65,905
0.8,Ideal,F,VS1,62.4,55.0,5.92,5.88,3.68,3884
0.72,Premium,D,VS2,61.1,60.0,5.74,5.69,3.49,2721
2.01,Premium,J,VVS1,62.2,58.0,8.1,7.89,5.0,15836
0.76,Ideal,G,VVS1,62.0,54.7,5.83,5.87,3.62,3671
0.41,Good,J,VS1,63.7,56.0,4.71,4.68,2.99,830
0.5,Good,G,VS1,61.9,61.5,5.03,5.04,3.12,1565
0.34,Premium,I,SI1,60.2,59.0,4.52,4.55,2.73,447
0.72,Ideal,F,SI1,62.0,55.0,5.76,5.79,3.58,2737
0.43,Ideal,G,VS1,61.6,55.1,4.85,4.89,3.0,1005
2.01,Good,H,SI2,57.6,60.0,8.32,8.23,4.76,12215
1.02,Premium,D,SI2,61.5,58.0,6.51,6.33,3.95,4381
1.23,Very Good,I,SI1,60.5,58.0,6.9,6.94,4.19,5763
1.0,Premium,G,VS2,60.8,58.0,6.44,6.4,3.9,5242
1.12,Ideal,F,VS2,62.1,56.0,6.63,6.67,4.13,8251
0.34,Premium,D,VS2,59.3,59.0,4.55,4.59,2.71,687
